open_time,action,lot_size,entry_price,sl_price,tp_price,close_time,exit_price,pnl,pnl_pct,exit_reason,ticket
2026-02-02 16:51:09.035556+07:00,BUY,0.01,1.18632,1.1834745153810147,1.1920109692379708,,,,,,1446303729
2026-02-02 18:51:08+07:00,BUY,0.01,1.18632,1.18347,1.19201,2026-02-02 16:51:39.234050+07:00,1.18629,-0.03,-0.0025002291876755366,MIDNIGHT_CLOSE,1446303729
2026-02-02 16:52:04.065192+07:00,BUY,0.01,1.18642,1.1835691582381576,1.192121683523685,,,,,,1446306410
2026-02-02 16:56:05.341855+07:00,BUY,0.01,1.18634,1.1834795153810147,1.1920609692379707,,,,,,1446317916
2026-02-02 16:56:52.210251+07:00,SELL,0.01,4720.95,4905.079678221273,4352.690643557454,,,,,,1446319877
2026-02-02 18:57:05.197188+07:00,BUY,0.01,4766.25,4626.688975575557,4940.701280530554,,,,,,1446625581
2026-02-02 18:57:41.109414+07:00,BUY,0.01,1.1864,1.1842419513921107,1.1890975607598615,,,,,,1446626959
2026-02-02 20:03:12.316755+07:00,BUY,0.01,1.18366,1.1814668456962383,1.186401442879702,,,,,,1446819320
2026-02-02 21:13:58.419785+07:00,BUY,0.01,1.18129,1.1790188872663694,1.1841288909170382,,,,,,1447081061
2026-02-03 16:19:29.801603+07:00,BUY,0.01,1.18123,1.1795014161638189,1.1833907297952264,,,,,,1449802933
2026-02-03 17:00:01.314468+07:00,BUY,0.01,1.17923,1.1773865590209618,1.1815343012237978,,,,,,1449891487
2026-02-03 17:33:29.560972+07:00,BUY,0.01,1.17919,1.1773805190886817,1.1814518511391476,,,,,,1449951398
